Day,Order sumary,,,Totals,,,,,,,,,,,,,,,,,,,,,,
Sunday,Item,Quantity,Total,"$1,743.35",,price,,,,,,,,,,,,,,,,,,,,
,501,32,,,,$6.50,,,,,,,,,,,,,,,,,,,,
,502,6,,,,$5.50,,,,,,,,,,,,,,,,,,,,
,503,32,,,,$4.50,,,,,,,,,,,,,,,,,,,,
,504,30,,,,$2.50,,,,,,,,,,,,,,,,,,,,
,505,16,,,,$5.00,,,,,,,,,,,,,,,,,,,,
,506,6,,,,$32.00,,,,,,,,,,,,,,,,,,,,
,507,42,,,,$0.75,,,,,,,,,,,,,,,,,,,,
,508,24,,,,$4.75,,,,,,,,,,,,,,,,,,,,
,509,21,,,,$5.75,,,,,,,,,,,,,,,,,,,,
,510,35,,,,$3.75,,,,,,,,,,,,,,,,,,,,
,511,7,,,,$4.50,,,,,,,,,,,,,,,,,,,,
,512,47,,,,$3.50,,,,,,,,,,,,,,,,,,,,
,513,11,,,,$0.10,,,,,,,,,,,,,,,,,,,,
,514,13,,,,$1.50,,,,,,,,,,,,,,,,,,,,
,515,50,,,,$2.50,,,,,,,,,,,,,,,,,,,,
,516,25,,,,$5.00,,,,,,,,,,,,,,,,,,,,
,517,48,,,,$1.75,,,,,,,,,,,,,,,,,,,,
,518,17,,,,$1.25,,,,,,,,,,,,,,,,,,,,
,519,21,,,,$2.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,Item,Quantity,Total,"$7,050.95",,,,,,,,,,,,,,,,,,,,,,
,501,90,,,,,,,,,,,,,,,,,,,,,,,,
,502,42,,,,,,,,,,,,,,,,,,,,,,,,
,503,95,,,,,,,,,,,,,,,,,,,,,,,,
,504,85,,,,,,,,,,,,,,,,,,,,,,,,
,505,45,,,,,,,,,,,,,,,,,,,,,,,,
,506,89,,,,,,,,,,,,,,,,,,,,,,,,
,507,86,,,,,,,,,,,,,,,,,,,,,,,,
,508,47,,,,,,,,,,,,,,,,,,,,,,,,
,509,40,,,,,,,,,,,,,,,,,,,,,,,,
,510,96,,,,,,,,,,,,,,,,,,,,,,,,
,511,86,,,,,,,,,,,,,,,,,,,,,,,,
,512,47,,,,,,,,,,,,,,,,,,,,,,,,
,513,97,,,,,,,,,,,,,,,,,,,,,,,,
,514,90,,,,,,,,,,,,,,,,,,,,,,,,
,515,66,,,,,,,,,,,,,,,,,,,,,,,,
,516,95,,,,,,,,,,,,,,,,,,,,,,,,
,517,51,,,,,,,,,,,,,,,,,,,,,,,,
,518,87,,,,,,,,,,,,,,,,,,,,,,,,
,519,55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,Item,Quantity,Total,"$6,479.00",,,,,,,,,,,,,,,,,,,,,,
,501,75,,,,,,,,,,,,,,,,,,,,,,,,
,502,69,,,,,,,,,,,,,,,,,,,,,,,,
,503,59,,,,,,,,,,,,,,,,,,,,,,,,
,504,63,,,,,,,,,,,,,,,,,,,,,,,,
,505,50,,,,,,,,,,,,,,,,,,,,,,,,
,506,81,,,,,,,,,,,,,,,,,,,,,,,,
,507,93,,,,,,,,,,,,,,,,,,,,,,,,
,508,89,,,,,,,,,,,,,,,,,,,,,,,,
,509,72,,,,,,,,,,,,,,,,,,,,,,,,
,510,87,,,,,,,,,,,,,,,,,,,,,,,,
,511,26,,,,,,,,,,,,,,,,,,,,,,,,
,512,85,,,,,,,,,,,,,,,,,,,,,,,,
,513,90,,,,,,,,,,,,,,,,,,,,,,,,
,514,54,,,,,,,,,,,,,,,,,,,,,,,,
,515,95,,,,,,,,,,,,,,,,,,,,,,,,
,516,27,,,,,,,,,,,,,,,,,,,,,,,,
,517,34,,,,,,,,,,,,,,,,,,,,,,,,
